"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","680uF 100V","","","","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"C5","1","100nF","","","","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm",""
"C6,C9","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C7","1","10uF 25V","","","","Capacitor_SMD:C_1206_3216Metric",""
"C8","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","SMCJ58CA","","","","Diode_SMD:D_SMC",""
"D2","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"D3","1","BZX85C12","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D4","1","CHOP_ACTIVE","","","","LED_THT:LED_D3.0mm",""
"D5","1","ES3D","","","","Diode_SMD:D_SMC",""
"F1","1","BF1 58V MIDI 50A (142.7010.5502)","","","","Library:Fuse_MIDI_BF1-58V_50A_BoltDown_2xM6_P30mm",""
"J2","1","TERM","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3","1","PWR M1","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J4","1","CANA","","","","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",""
"J5","1","PWR M2","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J6","1","CANB","","","","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",""
"J7","1","PWR M3","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J9","1","PWR M4","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J11","1","PWR M5","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J13","1","PWR M6","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J15","1","TERM2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J16","1","BATT_SENSE","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J17","1","DUMP_RESISTOR","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"J19","1","THERMAL_SW","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Q1","1","MMBT3906","","","","Package_TO_SOT_SMD:SOT-23",""
"Q2","1","IRFB4110","","","","Package_TO_SOT_THT:TO-220-3_Vertical",""
"R1,R5","2","120R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R6,R13,R16,R17,R20","6","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R3","1","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R7,R10","2","4.7K","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","1K 3W","","","","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"R9,R18","2","100K","","","","Resistor_SMD:R_0805_2012Metric",""
"R11","1","5.1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R14","1","1M","","","","Resistor_SMD:R_0805_2012Metric",""
"R15","1","100","","","","Resistor_SMD:R_0805_2012Metric",""
"R19","1","33K","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
"U1","1","Teensy4.1","","","","teensy:Teensy41",""
"U2,U4","2","SN65HVD230","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"U3","1","TL431LP","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"XT90PWRIN1","1","Conn_01x02_Pin","","","","Connector_AMASS:AMASS_XT90PW-M_1x02_P10.90mm_Horizontal",""
