Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C2, C3, C4",CP_Radial_D18.0mm_P7.50mm,4,680uF 100V,
C5,C_Disc_D7.5mm_W4.4mm_P5.00mm,1,100nF,
"C6, C9",0805,2,100nF,
C7,1206,1,10uF 25V,
C8,0805,1,10nF,
D1,D_SMC,1,SMCJ58CA,
D2,SOT-23,1,BAT54S,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,BZX85C12,
D4,LED_D3.0mm,1,CHOP_ACTIVE,
D5,D_SMC,1,ES3D,
F1,Fuse_MIDI_BF1-58V_50A_BoltDown_2xM6_P30mm,1,BF1 58V MIDI 50A (142.7010.5502),
J11,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M5,
J13,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M6,
J15,PinHeader_1x02_P2.54mm_Vertical,1,TERM2,
J16,PinHeader_1x02_P2.54mm_Vertical,1,BATT_SENSE,
J17,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,DUMP_RESISTOR,
J19,PinHeader_1x02_P2.54mm_Vertical,1,THERMAL_SW,
J2,PinHeader_1x02_P2.54mm_Vertical,1,TERM,
J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M1,
J4,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CANA,
J5,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M2,
J6,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,CANB,
J7,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M3,
J9,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR M4,
Q1,SOT-23,1,MMBT3906,
Q2,TO-220-3_Vertical,1,IRFB4110,
"R1, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,120R,
"R10, R7",0805,2,4.7K,
R11,0805,1,5.1K,
R12,0805,1,1K,
"R13, R16, R17, R2, R20, R6",0805,6,10K,
R14,0805,1,1M,
R15,0805,1,100,
"R18, R9",0805,2,100K,
R19,0805,1,33K,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,
R8,R_Axial_Power_L20.0mm_W6.4mm_P25.40mm,1,1K 3W,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
U1,Teensy41,1,Teensy4.1,
"U2, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,
U3,TO-92_Inline,1,TL431LP,
XT90PWRIN1,AMASS_XT90PW-M_1x02_P10.90mm_Horizontal,1,Conn_01x02_Pin,
